tid;relationship;related_tid;targrel_id
100444;SUBSET OF;107938;36943
100444;SUBSET OF;107939;36944
10294;SUBSET OF;104923;36945
101477;SUBSET OF;106197;36948
102971;SUBSET OF;105578;36949
103537;SUBSET OF;105506;36950
101445;SUBSET OF;108411;36951
101462;SUBSET OF;107941;36952
11720;SUBSET OF;107919;36953
11720;SUBSET OF;104980;36954
103529;SUBSET OF;107911;36958
104817;SUBSET OF;104841;36959
104817;SUPERSET OF;108;36960
104817;OVERLAPS WITH;104994;36961
104817;SUPERSET OF;107;36962
104817;OVERLAPS WITH;104992;36963
104817;SUBSET OF;104784;36964
104822;SUPERSET OF;107928;36965
104822;SUPERSET OF;11408;36966
104822;SUPERSET OF;12261;36967
104822;SUPERSET OF;11407;36968
103517;SUBSET OF;106729;36969
10659;SUBSET OF;107883;36970
10659;SUBSET OF;107882;36971
10659;SUBSET OF;107881;36972
10659;SUBSET OF;107880;36973
10659;SUBSET OF;104844;36974
104746;OVERLAPS WITH;109738;36975
104746;OVERLAPS WITH;104747;36976
